"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","75","75","1","33.095051","0","75"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","6","6","1","9.307910","0","6"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","6","6","1","6.866044","0","6"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","14","14","1","10.269599","0","14"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","6","6","1","7.803444","0","6"
"/Engine/EditorLandscapeResources/ColorMaskBrushMaterial.ColorMaskBrushMaterial","0","5","5","1","4.302471","0","5"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","2.366232","0","2"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","8","9","1","7.220554","0","9"
"/Engine/EditorLandscapeResources/LayerVisMaterial.LayerVisMaterial","0","2","2","1","2.683575","0","2"
"/Engine/EditorLandscapeResources/SelectBrushMaterial.SelectBrushMaterial","0","10","10","2","7.720705","0","10"
"/Engine/EditorLandscapeResources/LandscapeDirtyMaterial.LandscapeDirtyMaterial","0","5","5","1","3.925158","0","5"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","25","25","1","2.290885","0","25"
"/Fab/Materials/Standard/M_MS_Base.M_MS_Base","0","11","12","1","12.713394","44","108"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","24","24","1","30.981333","0","24"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","9","9","1","12.405216","0","9"
"/Fab/Materials/Standard/M_MS_Srf.M_MS_Srf","0","11","12","1","9.188383","0","12"
"/Game/DownloadedAssets/OldFurniturePack_01/Materials/M_MasterMaterial.M_MasterMaterial","0","6","6","2","7.904901","0","6"
"/Engine/EditorLandscapeResources/LandscapeLayerUsageMaterial.LandscapeLayerUsageMaterial","0","2","2","1","2.929757","0","2"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","609","0","1","0.000000","0","0"
"/Game/DownloadedAssets/VintageRadio/Materials/M_VintageRadio_Master.M_VintageRadio_Master","0","3","3","1","3.251139","0","3"
"/Game/DownloadedAssets/VintageRadio/Materials/M_VintageRadioGlass_Master.M_VintageRadioGlass_Master","0","8","8","1","44.942116","0","8"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","0","14","14","1","12.445086","0","14"
"/Game/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","0","28","32","1","0.000000","0","32"
"Globals","49","15774","0","1","0.000000","0","0"
"/InterchangeAssets/gltf/M_Default.M_Default","49","429","364","12","855.185547","36","364"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","49","195","213","7","23.937878","0","213"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","49","44","48","1","0.000000","0","48"
